"id","domainname","notes","npi_count","is_athenahealth","is_multi_site","is_could_not_find_form","patient_record_request_form_url","is_plaintext_email_delivery_available","is_secure_email_non_Direct_delivery_available","is_fax_delivery_available","is_mail_delivery_available","is_Direct_delivery_available","is_portal_delivery_available","is_FHIR_url_delivery_available","is_non_FHIR_app_delivery_available","is_in_person_pickup_available","is_physical_disk_available","is_undefined_digital_delivery_available"
"1","mayo.edu",,"6375",NULL,"0","0","https://mcforms.mayo.edu/mc0001-mc0099/mc0072-01.pdf","1","0","1","1","0","1","0","0","1","1","0"
"2","atriumhealth.org",,"3632",NULL,"0","0","https://atriumhealth.org/-/media/chs/files/for-patients-visitors/medical-records-privacy-rights/patient-request-for-access-form---revised-2019.pdf","0","1","1","1","0","0","0","0","1","1","0"
"3","vumc.org",,"3494",NULL,"0","0","https://www.vumc.org/student-health/sites/vumc.org.student-health/files/public_files/Release%20to%20Communicate%20with%20Others.pdf","1","0","1","1","0","0","0","0","1","0","0"
"4","novanthealth.org",,"2542",NULL,"0","0","https://www.novanthealth.org/Portals/92/novant_health/documents/patients_visitors/medical%20records/AuthtoDiscloseProtectedPHI-NH_900010.pdf","1","0","1","1","0","0","0","0","1","1","1"
"5","ahn.org",,"2222",NULL,"0","0","https://www.ahn.org/content/dam/ahn/en/dmxahn/documents/patients-visitors/Release-of-PHI.pdf","1","0","1","1","0","1","0","0","1","1","0"
"6","geisinger.edu",,"2194",NULL,"0","0","https://www.geisinger.org/-/media/OneGeisinger/pdfs/ghs/patient-care/patients-and-visitors/pt-release-form.pdf","1","0","1","1","0","0","0","0","0","1","0"
"7","IUHEALTH.ORG",,"1940",NULL,"0","0","https://cdn.iuhealth.org/resources/Fillable-ROI-Authorization-English.pdf?mtime=20210618152736&focal=none","1","0","1","1","0","0","0","0","0","1","0"
"8","ssmhealth.com",,"1759",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"9","umassmemorial.org",,"1639",NULL,"0","0","https://www.ummhealth.org/sites/umass-memorial-hospital/files/Documents/Patients_Visitors/PHI/NS%20HIM%200001_0.pdf","1","0","1","1","0","1","0","0","1","0","0"
"10","uwmf.wisc.edu",,"1298",NULL,"0","0","https://www.uwhealth.org/files/uwhealth/docs/medrecords/release_medical_information.pdf","0","0","1","1","0","0","0","0","0","0","0"
